APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002570001","Oct 30, 2019",Con Archivo (Preliminar),CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huaraz,"01306015200-2019-
0002010000","Oct 29, 2019",En Investigacion Preventiva,RESPONSABILIDAD DE SERVIDOR PÚBLICO POR OTORGAMIENTO ILEGAL DERECHOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640001","Oct 16, 2019",Con Archivo (Califica),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,01ºfiscalia Especializada En Prevencion Del Delito-Lima Norte(Ncpp),"00606010901-2019-
0012610000","Oct 9, 2019",No Ha Lugar,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0002640000","Sep 25, 2019",Denuncia Pendiente,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,50°Fiscalia Provincial En Lo Penal De Lima,"00506010150-2019-
0005530000","Jun 26, 2019",Denuncia Pendiente,ESTAFA
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,06º Fiscalia Provincial Penal Corporativa De Huaraz (Ncpp),"01306014504-2019-
0006300000","Jun 25, 2019",En Calificacion (Califica),OMISIÓN ILEGAL DE ACTO DE SU CARGO
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690002","Jun 14, 2019",Consulta Resuelta,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01º Fiscalia Provincial Penal De Surquillo,"00506150101-2019-
0005970000","May 30, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"BAZÁN VILLANUEVA, LENIN FERNANDO",Frente Amplio,La Libertad,Fiscalia Superior Mixta De Sanchez Carrion,"02305090600-2019-
0000160000","May 27, 2019",Denuncia Pendiente,GRAVE PERTURBACIÓN DE LA TRANQUILIDAD PÚBLICA (USANDO CUALQUIER MEDIO RAZONABLE CAPAZ DE PRODUCIR AL
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,01° Fiscalia Provincial Prevencion Del Delito,"00507010951-2019-
0008480000","May 23, 2019",Derivado,DELITO CONTRA LA SEGURIDAD PUBLICA
"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,57ºfiscalia Provincial En Lo Penal De Lima,"00506010157-2019-
0004220000","May 23, 2019",Archivo Definitivo,ABUSO DE AUTORIDAD
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900001","May 10, 2019",Con Archivo (Califica),CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,02º Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Lima,"00506015506-2019-
0001900000","May 10, 2019",Formaliza Investigacion Preparatoria,CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001210000","Mar 29, 2019",Denuncia Pendiente,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000690000","Mar 29, 2019",Denuncia Pendiente,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000700000","Mar 29, 2019",Denuncia Pendiente,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2019-
0006830000","Mar 25, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350001","Mar 22, 2019",Con Sobreseimiento,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870002","Mar 21, 2019",Consulta Resuelta,ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Ancash,"01306015500-2018-
0003750002","Mar 21, 2019",Formaliza Investigacion Preparatoria,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"TROYES DELGADO, HANS",Acción Popular,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0001020000","Mar 14, 2019",Con Investigacion Preliminar,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2019-
0000930000","Mar 12, 2019",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PÚBLICOS
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2019-
0000950000","Mar 12, 2019",Con Investigacion Preliminar,DELITOS COMETIDOS POR FUNCIONARIOS PÚBLICOS
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606065500-2015-
0003690001","Mar 5, 2019",Recepcion De Solicitud De Consulta,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2015-
0001870001","Feb 26, 2019",Solicitud De Exclusion Fiscal Pendiente,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000440000","Feb 26, 2019",En Calificacion (Califica),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2019-
0000430000","Feb 25, 2019",Denuncia Pendiente,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,03º Fiscalia Superior Penal Del Callao (Ncpp),"00906010113-2015-
0000880001","Feb 4, 2019",Califica Apelacion(Expediente),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"PÉREZ OCHOA, CARLOS ANDRÉS",Acción Popular,Lima Provincias,1º Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Ancash,"01306015500-2018-
0003750001","Jan 31, 2019",Impugnacion Resuelta - Fiscal Superior,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2019-
0000410000","Jan 15, 2019",Denuncia Pendiente,ABUSO DE AUTORIDAD
"HIDALGO ZAMALLOA, ALEXANDER",APP,Cusco,03º Fiscalía Superior Penal Del Cusco(Ncpp),"01806105500-2017-
0001040008","Jan 10, 2019",Solicitud Apelacion Pendiente(Expediente),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2019-
0004630000","Jan 9, 2019",Denuncia Pendiente,RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD
